Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
1880   -71  -42  -48  -63  -36  -49  -38   11  -43  -60  -41  -38
1881   -66  -44  -24  -17   -1 -104  -41  -24  -28  -39  -49    0
1882    22   -5   -5  -55  -37  -92  -62  -12   -2  -27  -36  -59
1883   -61  -88  -36  -20  -29   43    7   -3  -33  -55  -61  -27
1884   -51  -23  -37  -86 -109  -72  -80   20  -33  -75  -76  -92
1885   -87  -73  -87  -83  -48  -90  -57  -14  -14   -2  -33    9
1886   -65  -73  -63  -55  -53  -71  -34  -67  -35  -81  -52  -69
1887   -83 -116  -54  -77  -82  -64  -44  -31  -60  -44  -84  -62
1888   -67  -72  -82  -22  -67  -45  -28  -27  -35  -19   -2   -6
1889   -25   21    9   16   14  -25  -40  -59  -36  -20  -44  -39
1890   -62  -62  -61  -50  -88  -55  -59  -60  -35  -28  -76  -55
1891   -99 -109  -55  -66  -46  -56  -72  -58  -51  -58  -53   -3
1892   -65  -32  -57  -70  -64  -54  -35  -24  -48  -35  -60  -63
1893  -143  -96  -59  -63  -71  -66  -10  -31  -24   -8  -16  -42
1894   -78  -67  -42  -66  -65  -47  -36  -31  -44   -8  -14  -17
1895   -68  -81  -50  -46  -36  -29  -54  -17  -12   -5  -11   -6
1896   -25  -31  -55  -47  -45  -44  -21  -40  -12   -6  -46  -22
1897   -27  -52  -36  -13  -28  -22  -11  -31  -19  -28   -7  -32
1898   -21  -52  -84  -55  -69  -34  -38  -28   -6  -46  -55  -27
1899   -49  -63  -44  -30  -46  -59  -34  -35   -6  -33   -7  -25
1900   -54   -4  -17  -17  -18  -15  -37  -21  -10   13  -14   -9
1901   -31  -13  -16  -15  -25    2  -30  -25    1  -17  -13  -18
1902   -31   -4  -20  -19  -33  -39  -45  -51  -42  -48  -49  -54
1903   -33  -12  -16  -53  -43  -61  -28  -39  -37  -48  -46  -59
1904   -79  -74  -52  -45  -65  -42  -58  -48  -44  -53  -24  -37
1905   -39  -95  -23  -35  -34  -35  -42  -26  -23  -37   -9  -26
1906   -17  -34  -32    6  -21  -22  -23  -20  -31  -21  -56  -27
1907   -50  -68  -48  -62  -68  -67  -42  -57  -40  -34  -61  -66
1908   -37  -32  -51  -45  -33  -44  -39  -41  -18  -41  -60  -39
1909   -74  -58  -48  -60  -58  -42  -33  -10  -20  -18  -17  -52
1910   -45  -36  -44  -31  -27  -37  -18  -12  -11  -34  -50  -63
1911   -61  -61  -59  -51  -39  -42  -17  -26  -26  -17  -14  -23
1912   -18  -12  -41  -34  -27  -23  -46  -62  -37  -52  -48  -34
1913   -43  -51  -59  -32  -63  -58  -25  -21  -22  -32  -20    2
1914    14   -5   -5  -19   -2  -12  -25  -14  -12    9  -35  -23
1915   -21    3  -11   -3  -20  -21    6  -17    1   -9    4  -16
1916   -11  -10  -43  -30  -38  -45  -30   -8  -14  -16  -39  -78
1917   -47  -71  -77  -50  -77  -42    6  -33  -30  -48  -34  -89
1918   -62  -61  -50  -52  -74  -42  -44  -45  -19    2  -26  -31
